sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,6_9_0,2023-11-20T15:23:16.789Z,,,,1,1.2541318165695772,1.085289936617366,,,true,ll,4874.199000000022,response,-0.8312823923310584,1.2,-1.2,-0.9576418532667232,1.2,-1.2,low,low,,ISIC_4277207.JPG,,ISIC_3688407.JPG,359,true,0.4500000000000003,ll,keypress(f),0,false,271221.89999997616,271221.5,266330.615,266551.2000000477,266347.301,271056.472,1,40,10,
sequence,flow.Sequence,6_9,2023-11-20T15:23:16.790Z,,,,,,,,,,,4874.199000000022,completion,,,,,,,low,low,,,,,,true,,,,,false,271222.5,271221.5,266330.615,266551.10000002384,266347.301,271056.472,1,40,,
trial,html.Screen,6_10_0,2023-11-20T15:23:25.070Z,,,,1,-1.0153439398566937,0.93001438372942,,,false,hl,8445.42799997615,response,1.0887164761389951,1.2,-1.2,-1.5357518752548716,1.2,-1.2,high,low,,ISIC_8211214.JPG,,ISIC_0028127.JPG,26,true,0.4500000000000003,hh,keypress(i),0,false,279502.2000000477,279501.89999997616,271006.455,271222.7000000477,271056.472,279322.569,1,40,11,
sequence,flow.Sequence,6_10,2023-11-20T15:23:25.070Z,,,,,,,,,,,8445.42799997615,completion,,,,,,,high,low,,,,,,true,,,,,false,279502.7999999523,279501.89999997616,271006.455,271222.7000000477,271056.472,279322.569,1,40,,
trial,html.Screen,6_11_0,2023-11-20T15:23:30.421Z,,,,1,-0.90812608370647,1.2720026872926935,,,true,hl,5530.930999999982,response,0.8719231363109603,1.2,-1.2,-0.7704280220140033,1.2,-1.2,high,low,,ISIC_0450295.JPG,,ISIC_0029453.JPG,26,true,0.4500000000000003,hl,keypress(j),0,false,284853.89999997616,284853.5,279289.207,279503,279322.569,284666.299,1,40,12,
sequence,flow.Sequence,6_11,2023-11-20T15:23:30.422Z,,,,,,,,,,,5530.930999999982,completion,,,,,,,high,low,,,,,,true,,,,,false,284854.39999997616,284853.5,279289.207,279502.89999997616,279322.569,284666.299,1,40,,
trial,html.Screen,6_12_0,2023-11-20T15:23:37.380Z,,,,1,-1.0116417541846066,1.033442916947398,,,false,hl,7146.201000000001,response,0.8719231363109603,1.2,-1.2,-0.7704280220140033,1.2,-1.2,high,low,,ISIC_0031389.JPG,,ISIC_0029453.JPG,26,true,0.4500000000000003,lh,keypress(e),0,false,291812.7000000477,291812.5,284633.091,284854.7000000477,284666.299,291613.227,1,40,13,
sequence,flow.Sequence,6_12,2023-11-20T15:23:37.380Z,,,,,,,,,,,7146.201000000001,completion,,,,,,,high,low,,,,,,true,,,,,false,291812.89999997616,291812.5,284633.091,284854.7000000477,284666.299,291613.227,1,40,,
trial,html.Screen,6_13_0,2023-11-20T15:23:42.965Z,,,,1,1.1989130276493527,1.2666195460149832,,,true,ll,5784.2729999999865,response,-1.2033647433750492,1.2,-1.2,-1.0718012192341555,1.2,-1.2,low,low,,ISIC_0031705.JPG,,ISIC_0061606.JPG,288,true,0.40000000000000024,ll,keypress(f),0,false,297397.89999997616,297397.5,291596.655,291812.89999997616,291613.227,297190.669,1,40,14,
sequence,flow.Sequence,6_13,2023-11-20T15:23:42.966Z,,,,,,,,,,,5784.2729999999865,completion,,,,,,,low,low,,,,,,true,,,,,false,297398.5,297397.5,291596.655,291812.89999997616,291613.227,297190.669,1,40,,
trial,html.Screen,6_14_0,2023-11-20T15:23:49.495Z,,,,1,-1.082709423673037,-1.1184338818466155,,,true,hh,6735.130999952322,response,1.2246024683501224,1.2,-1.2,1.2904526351590244,1.2,-1.2,high,high,,ISIC_0058666.JPG,,ISIC_4730066.JPG,25,true,0.14,hh,keypress(i),0,false,303926.2999999523,303925.7999999523,297173.937,297398.7000000477,297190.669,303753.451,1,40,15,
sequence,flow.Sequence,6_14,2023-11-20T15:23:49.495Z,,,,,,,,,,,6735.130999952322,completion,,,,,,,high,high,,,,,,true,,,,,false,303926.7999999523,303925.7999999523,297173.937,297398.60000002384,297190.669,303753.451,1,40,,
trial,html.Screen,6_15_0,2023-11-20T15:23:58.718Z,,,,1,1.3046390428588206,-0.7942099232219556,,,true,lh,9396.048999999999,response,-1.168911077628813,1.2,-1.2,1.2181838235193114,1.2,-1.2,low,high,,ISIC_0013096.JPG,,ISIC_7358691.JPG,27,true,0.40000000000000024,lh,keypress(e),0,false,313149.89999997616,313149.5,303703.555,303927,303753.451,312954.852,1,40,16,
sequence,flow.Sequence,6_15,2023-11-20T15:23:58.719Z,,,,,,,,,,,9396.048999999999,completion,,,,,,,low,high,,,,,,true,,,,,false,313150.2999999523,313149.5,303703.555,303927,303753.451,312954.852,1,40,,
trial,html.Screen,6_16_0,2023-11-20T15:24:05.869Z,,,,1,-1.1392972253022884,-1.208510423375335,,,false,hh,7345.748000023828,response,0.8063086831157171,1.2,-1.2,0.7804750549895122,1.2,-1.2,high,high,,ISIC_0046526.JPG,,ISIC_0002899.JPG,265,true,0.4500000000000003,hl,keypress(j),0,false,320300.7000000477,320300.60000002384,312938.12,313150.7000000477,312954.852,320102.007,1,40,17,
sequence,flow.Sequence,6_16,2023-11-20T15:24:05.869Z,,,,,,,,,,,7345.748000023828,completion,,,,,,,high,high,,,,,,true,,,,,false,320300.89999997616,320300.60000002384,312938.12,313150.5,312954.852,320102.007,1,40,,
