sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,6_14_0,2023-11-15T15:23:06.242Z,,,,1,1.0213365328004047,-1.088524359911891,,true,lh,7473.151000000013,response,-0.8809306963311293,0.9499999999999997,-0.9499999999999997,0.8614910030038974,0.9499999999999997,-0.9499999999999997,low,high,,ISIC_5434229.JPG,,ISIC_0013731.JPG,28,true,lh,keypress(e),0,false,283901.1999999881,283901,276411.069,276422,276427.849,283911.167,1,20,15,
sequence,flow.Sequence,6_14,2023-11-15T15:23:06.242Z,,,,,,,,,,7473.151000000013,completion,,,,,,,low,high,,,,,,true,,,,false,283901.39999999106,283901,276411.069,276421.89999999106,276427.849,283911.167,1,20,,
trial,html.Screen,6_15_0,2023-11-15T15:23:09.074Z,,,,1,-1.056824784611021,-0.8736902702135552,,true,hh,2822.132999997004,response,0.7902359375375733,0.9499999999999997,-0.9499999999999997,0.8607451825540537,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_0014026.JPG,,ISIC_0899961.JPG,167,true,hh,keypress(i),0,false,286733.5,286733.299999997,283894.31,283901.59999999404,283911.167,286744.473,1,20,16,
sequence,flow.Sequence,6_15,2023-11-15T15:23:09.074Z,,,,,,,,,,2822.132999997004,completion,,,,,,,high,high,,,,,,true,,,,false,286734,286733.299999997,283894.31,283901.5,283911.167,286744.473,1,20,,
trial,html.Screen,6_16_0,2023-11-15T15:23:12.322Z,,,,1,0.887838744955182,-0.7545096650863988,,true,lh,3236.6269999940414,response,-0.869932994914832,0.9499999999999997,-0.9499999999999997,0.8880533324432531,0.9499999999999997,-0.9499999999999997,low,high,,ISIC_1488727.JPG,,ISIC_8617084.JPG,28,true,lh,keypress(e),0,false,289981.1999999881,289981.09999999404,286727.813,286734.1999999881,286744.473,289994.673,1,20,17,
sequence,flow.Sequence,6_16,2023-11-15T15:23:12.322Z,,,,,,,,,,3236.6269999940414,completion,,,,,,,low,high,,,,,,true,,,,false,289981.5,289981.09999999404,286727.813,286734.09999999404,286744.473,289994.673,1,20,,
trial,html.Screen,6_17_0,2023-11-15T15:23:18.259Z,,,,1,-0.8529242055711017,-0.9691635021928308,,true,hh,5922.82699999999,response,1.1345705036261835,0.9499999999999997,-0.9499999999999997,0.8852009725300015,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_8169564.JPG,,ISIC_0027149.JPG,167,true,hh,keypress(i),0,false,295917.59999999404,295917.5,289977.83,289981.6999999881,289994.673,295927.836,1,20,18,
sequence,flow.Sequence,6_17,2023-11-15T15:23:18.259Z,,,,,,,,,,5922.82699999999,completion,,,,,,,high,high,,,,,,true,,,,false,295918,295917.5,289977.83,289981.59999999404,289994.673,295927.836,1,20,,
trial,html.Screen,6_18_0,2023-11-15T15:23:21.210Z,,,,1,-1.0769490291795207,-1.0174515954885954,,true,hh,2940.9639999970095,response,0.7846840640804751,0.9499999999999997,-0.9499999999999997,1.0912590313299513,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_0028135.JPG,,ISIC_0026352.JPG,167,true,hh,keypress(i),0,false,298869,298868.799999997,295911.067,295918.09999999404,295927.836,298877.909,1,20,19,
sequence,flow.Sequence,6_18,2023-11-15T15:23:21.210Z,,,,,,,,,,2940.9639999970095,completion,,,,,,,high,high,,,,,,true,,,,false,298869.299999997,298868.799999997,295911.067,295918.09999999404,295927.836,298877.909,1,20,,
