sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
practice_instructions,html.Screen,5,2023-11-17T20:05:57.252Z,,,,,,,,,,,23240.083999976167,response,,,,,,,,,,,,,,,,continue,click button,,,221884.69999998808,221876.39999997616,198619.719,198825.5,198636.316,221702.968,,,,
trial,html.Screen,6_0_0,2023-11-17T20:06:05.916Z,,,,1,-1.3559315773956395,0.924768326187701,,,true,hl,8846.131999964244,response,0.9670240379618178,1.2,-1.2,-1.1806404773220665,1.2,-1.2,high,low,,ISIC_5101111.JPG,,ISIC_0002288.JPG,26,true,0.3300000000000002,hl,keypress(j),0,false,230549.19999998808,230549.09999996424,221653.066,221884.69999998808,221702.968,230369.547,1,40,1,
sequence,flow.Sequence,6_0,2023-11-17T20:06:05.916Z,,,,,,,,,,,8846.131999964244,completion,,,,,,,high,low,,,,,,true,,,,,false,230549.29999995232,230549.09999996424,221653.066,221884.69999998808,221702.968,230369.547,1,40,,
trial,html.Screen,6_1_0,2023-11-17T20:06:12.326Z,,,,1,-1.0003671514840182,0.8992716557663581,,,true,hl,6589.052999964246,response,1.0345332538240786,1.2,-1.2,-1.4719115945084815,1.2,-1.2,high,low,,ISIC_0061749.JPG,,ISIC_0192490.JPG,33,true,0.3600000000000002,hl,keypress(j),0,false,236958.79999995232,236958.59999996424,230352.871,230549.5,230369.547,236769.559,1,40,2,
sequence,flow.Sequence,6_1,2023-11-17T20:06:12.326Z,,,,,,,,,,,6589.052999964246,completion,,,,,,,high,low,,,,,,true,,,,,false,236959.19999998808,236958.59999996424,230352.871,230549.39999997616,230369.547,236769.559,1,40,,
trial,html.Screen,6_2_0,2023-11-17T20:06:16.381Z,,,,1,-0.9087169856594104,0.8835647084207277,,,true,hl,4244.140999988071,response,1.0345332538240786,1.2,-1.2,-1.4719115945084815,1.2,-1.2,high,low,,ISIC_0000349.JPG,,ISIC_0192490.JPG,33,true,0.3600000000000002,hl,keypress(j),0,false,241013.69999998808,241013.69999998808,236736.014,236959.39999997616,236769.559,240819.546,1,40,3,
sequence,flow.Sequence,6_2,2023-11-17T20:06:16.381Z,,,,,,,,,,,4244.140999988071,completion,,,,,,,high,low,,,,,,true,,,,,false,241013.79999995232,241013.69999998808,236736.014,236959.39999997616,236769.559,240819.546,1,40,,
trial,html.Screen,6_3_0,2023-11-17T20:06:21.343Z,,,,1,-1.411763789273233,1.0057734478347988,,,true,hl,5155.153999988077,response,0.8588347582642082,1.2,-1.2,-0.8899503828496784,1.2,-1.2,high,low,,ISIC_0027235.JPG,,ISIC_0174983.JPG,33,true,0.3600000000000002,hl,keypress(j),0,false,245974.89999997616,245974.69999998808,240803.021,241013.89999997616,240819.546,245769.595,1,40,4,
sequence,flow.Sequence,6_3,2023-11-17T20:06:21.343Z,,,,,,,,,,,5155.153999988077,completion,,,,,,,high,low,,,,,,true,,,,,false,245975.29999995232,245974.69999998808,240803.021,241013.89999997616,240819.546,245769.595,1,40,,
trial,html.Screen,6_4_0,2023-11-17T20:06:27.789Z,,,,1,-1.0878102877901663,-1.3154097543539391,,,true,hh,6652.104999988078,response,1.3275010021911575,1.2,-1.2,0.9191944702333436,1.2,-1.2,high,high,,ISIC_1413242.JPG,,ISIC_7670149.JPG,249,true,0.3600000000000002,hh,keypress(i),0,false,252421.89999997616,252421.69999998808,245752.718,245975.5,245769.595,252236.204,1,40,5,
sequence,flow.Sequence,6_4,2023-11-17T20:06:27.790Z,,,,,,,,,,,6652.104999988078,completion,,,,,,,high,high,,,,,,true,,,,,false,252422.09999996424,252421.69999998808,245752.718,245975.5,245769.595,252236.204,1,40,,
trial,html.Screen,6_5_0,2023-11-17T20:06:32.063Z,,,,1,-1.3515962101204746,0.8414583575292955,,,true,hl,4458.395999964239,response,0.9566823908868002,1.2,-1.2,-0.9602125665128364,1.2,-1.2,high,low,,ISIC_0274382.JPG,,ISIC_0056784.JPG,26,true,0.3300000000000002,hl,keypress(j),0,false,256694.89999997616,256694.59999996424,252202.788,252422.29999995232,252236.204,256503.114,1,40,6,
sequence,flow.Sequence,6_5,2023-11-17T20:06:32.063Z,,,,,,,,,,,4458.395999964239,completion,,,,,,,high,low,,,,,,true,,,,,false,256695.39999997616,256694.59999996424,252202.788,252422.29999995232,252236.204,256503.114,1,40,,
trial,html.Screen,6_6_0,2023-11-17T20:06:37.820Z,,,,1,1.189469386514313,1.3008582067137853,,,true,ll,5949.685999952315,response,-1.3129541838437495,1.2,-1.2,-1.0207253457574674,1.2,-1.2,low,low,,ISIC_0010644.JPG,,ISIC_8104064.JPG,157,true,0.3600000000000002,ll,keypress(f),0,false,262452.89999997616,262452.7999999523,256486.31,256695.5,256503.114,262252.815,1,40,7,
sequence,flow.Sequence,6_6,2023-11-17T20:06:37.821Z,,,,,,,,,,,5949.685999952315,completion,,,,,,,low,low,,,,,,true,,,,,false,262453,262452.7999999523,256486.31,256695.5,256503.114,262252.815,1,40,,
