sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,6_3_0,2023-11-27T19:04:07.251Z,,,,1,1.4748095371445096,-0.9579010801034902,,,true,lh,5868.848999904643,response,-1.0961318727760048,1.2,-1.2,1.2134960228256146,1.2,-1.2,low,high,,ISIC_0033216.JPG,,ISIC_9768421.JPG,,26,true,0.3300000000000002,lh,keypress(e),0,false,259699.39999985695,259699.09999990463,253780.152,253794.89999985695,253830.251,259713.587,1,40,4,
sequence,flow.Sequence,6_3,2023-11-27T19:04:07.252Z,,,,,,,,,,,5868.848999904643,completion,,,,,,,low,high,,,,,,,true,,,,,false,259699.89999985695,259699.09999990463,253780.152,253794.79999995232,253830.251,259713.587,1,40,,
trial,html.Screen,6_4_0,2023-11-27T19:04:10.338Z,,,,1,-1.2872758518949912,-1.313723254903214,,,true,hh,3072.8129998569493,response,1.415411781259296,1.2,-1.2,1.085289936617366,1.2,-1.2,high,high,,ISIC_0064376.JPG,,ISIC_4277207.JPG,,157,true,0.3600000000000002,hh,keypress(i),0,false,262786.5,262786.39999985695,259697.02,259700.09999990463,259713.587,262796.935,1,40,5,
sequence,flow.Sequence,6_4,2023-11-27T19:04:10.338Z,,,,,,,,,,,3072.8129998569493,completion,,,,,,,high,high,,,,,,,true,,,,,false,262786.69999980927,262786.39999985695,259697.02,259700.09999990463,259713.587,262796.935,1,40,,
trial,html.Screen,6_5_0,2023-11-27T19:04:13.067Z,,,,1,-1.3034518282811869,-1.0897657776277234,,,true,hh,2717.8649999523186,response,1.0885984639975343,1.2,-1.2,1.2042618719491294,1.2,-1.2,high,high,,ISIC_0071988.JPG,,ISIC_0012740.JPG,,25,true,0.15000000000000002,hh,keypress(i),0,false,265515.09999990463,265514.7999999523,262780.212,262786.7999999523,262796.935,265546.942,1,40,6,
sequence,flow.Sequence,6_5,2023-11-27T19:04:13.067Z,,,,,,,,,,,2717.8649999523186,completion,,,,,,,high,high,,,,,,,true,,,,,false,265515.5,265514.7999999523,262780.212,262786.7999999523,262796.935,265546.942,1,40,,
trial,html.Screen,6_6_0,2023-11-27T19:04:17.330Z,,,,1,-0.8787496315223856,1.3680901203013998,,,true,hl,4231.058000000019,response,1.3411487193830047,1.2,-1.2,-1.198640448317381,1.2,-1.2,high,low,,ISIC_0023811.JPG,,ISIC_3093026.JPG,,29,true,0.3600000000000002,hl,keypress(j),0,false,269778.09999990463,269778,265513.783,265515.69999980927,265546.942,269780.279,1,40,7,
sequence,flow.Sequence,6_6,2023-11-27T19:04:17.330Z,,,,,,,,,,,4231.058000000019,completion,,,,,,,high,low,,,,,,,true,,,,,false,269778.2999999523,269778,265513.783,265515.69999980927,265546.942,269780.279,1,40,,
trial,html.Screen,6_7_0,2023-11-27T19:04:19.914Z,,,,1,-1.2974483548597415,-1.2071506593281005,,,true,hh,2581.820999904652,response,1.2965630265970134,1.2,-1.2,0.8791441061179197,1.2,-1.2,high,high,,ISIC_0011007.JPG,,ISIC_0004455.JPG,,127,true,0.3300000000000002,hh,keypress(i),0,false,272362.2999999523,272362.09999990463,269763.624,269778.2999999523,269780.279,272381.632,1,40,8,
sequence,flow.Sequence,6_7,2023-11-27T19:04:19.914Z,,,,,,,,,,,2581.820999904652,completion,,,,,,,high,high,,,,,,,true,,,,,false,272362.5,272362.09999990463,269763.624,269778.2999999523,269780.279,272381.632,1,40,,
