sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,6_2_0,2024-07-08T23:47:05.382Z,,1,-1.187702657,-1.160436757,,,TRUE,hh,2514.1,response,1.27245846,1.2,-1.2,1.14110161,1.2,-1.2,high,high,ISIC_0064589.JPG,,ISIC_0059625.JPG,,26,TRUE,0.15,hh,keypress(i),0,FALSE,150011.4,150011.2,147486.4,147495.5,147497.1,150029.9,1,40,3,,,
sequence,flow.Sequence,6_2,2024-07-08T23:47:05.382Z,,,,,,,,,2514.1,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,150011.6,150011.2,147486.4,147495.4,147497.1,150029.9,1,40,,,,
trial,html.Screen,6_3_0,2024-07-08T23:47:12.337Z,,1,-0.923557177,1.000808165,,,TRUE,hl,6936.2,response,0.945471323,1.2,-1.2,-0.924516744,1.2,-1.2,high,low,ISIC_8796632.JPG,,ISIC_9101055.JPG,,26,TRUE,0.36,hl,keypress(j),0,FALSE,156966.3,156966.1,150020.306,150011.6,150029.9,156968.2,1,40,4,,,
sequence,flow.Sequence,6_3,2024-07-08T23:47:12.337Z,,,,,,,,,6936.2,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,156966.5,156966.1,150020.306,150011.6,150029.9,156968.2,1,40,,,,
trial,html.Screen,6_4_0,2024-07-08T23:47:20.266Z,,1,0.853469137,-1.039755805,,,TRUE,lh,7927.8,response,-0.894761108,1.2,-1.2,0.896096451,1.2,-1.2,low,high,ISIC_0056788.JPG,,ISIC_6441128.JPG,,27,TRUE,0.42,lh,keypress(e),0,FALSE,164896.1,164896,156963.09,156966.6,156968.2,164914.5,1,40,5,,,
sequence,flow.Sequence,6_4,2024-07-08T23:47:20.267Z,,,,,,,,,7927.8,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,164896.3,164896,156963.09,156966.6,156968.2,164914.5,1,40,,,,
trial,html.Screen,6_5_0,2024-07-08T23:47:27.406Z,,1,-1.021336533,1.08852436,,,TRUE,hl,7121.2,response,1.08653334,1.2,-1.2,-1.054263531,1.2,-1.2,high,low,ISIC_5434229.JPG,,ISIC_0034006.JPG,,26,TRUE,0.36,hl,keypress(j),0,FALSE,172035.9,172035.7,164901.25,164896.3,164914.5,172037.4,1,40,6,,,
sequence,flow.Sequence,6_5,2024-07-08T23:47:27.406Z,,,,,,,,,7121.2,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,172036,172035.7,164901.25,164896.3,164914.5,172037.4,1,40,,,,
trial,html.Screen,6_6_0,2024-07-08T23:47:30.019Z,,1,-1.292305997,-1.222688159,,,TRUE,hh,2610.8,response,1.202408356,1.2,-1.2,1.149077673,1.2,-1.2,high,high,ISIC_0072175.JPG,,ISIC_3566243.JPG,,253,TRUE,0.42,hh,keypress(i),0,FALSE,174648.4,174648.2,172036,172036.1,172037.4,174677.268,1,40,7,,,
sequence,flow.Sequence,6_6,2024-07-08T23:47:30.019Z,,,,,,,,,2610.8,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,174648.5,174648.2,172036,172036,172037.4,174677.268,1,40,,,,
