sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
sequence,flow.Sequence,5_3,2023-11-13T15:26:09.852Z,,,,,,,,2710.056,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1607145.5,1607144.4,1604417.535,1604521.7,1604434.344,1607053.224,1,20,,,,
trial,html.Screen,5_4_0,2023-11-13T15:26:15.084Z,,1,0.027910815,0.006093407,,TRUE,ll,5323.376,response,-0.97928909,1,-1,-0.899744999,1,-1,low,low,ISIC_0032604.JPG,,ISIC_0469314.JPG,111,TRUE,ll,keypress(f),0,FALSE,1612377,1612376.6,1607036.782,1607145.9,1607053.224,1612290.746,1,20,5,,,
sequence,flow.Sequence,5_4,2023-11-13T15:26:15.084Z,,,,,,,,5323.376,completion,,,,,,,low,low,,,,,TRUE,,,,FALSE,1612377.6,1612376.6,1607036.782,1607145.7,1607053.224,1612290.746,1,20,,,,
trial,html.Screen,5_5_0,2023-11-13T15:26:21.305Z,,1,0.032504656,0.001265757,,TRUE,hh,6307.254,response,0.958723073,1,-1,1.109729032,1,-1,high,high,ISIC_5682259.JPG,,ISIC_0055289.JPG,154,TRUE,hh,keypress(i),0,FALSE,1618598.1,1618598,1612274.355,1612377.9,1612290.746,1618512.578,1,20,6,,,
sequence,flow.Sequence,5_5,2023-11-13T15:26:21.305Z,,,,,,,,6307.254,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1618598.3,1618598,1612274.355,1612377.7,1612290.746,1618512.578,1,20,,,,
trial,html.Screen,5_6_0,2023-11-13T15:26:25.178Z,,1,-0.004009645,0.012810674,,TRUE,ll,3958.822,response,-1.078931263,1,-1,-1.160473417,1,-1,low,low,ISIC_0064656.JPG,,ISIC_3950753.JPG,111,TRUE,ll,keypress(f),0,FALSE,1622471.5,1622471.4,1618496.095,1618598.4,1618512.578,1622382.603,1,20,7,,,
sequence,flow.Sequence,5_6,2023-11-13T15:26:25.178Z,,,,,,,,3958.822,completion,,,,,,,low,low,,,,,TRUE,,,,FALSE,1622471.7,1622471.4,1618496.095,1618598.4,1618512.578,1622382.603,1,20,,,,
trial,html.Screen,5_7_0,2023-11-13T15:26:29.675Z,,1,0.055819459,-0.073342595,,TRUE,hh,4585.597,response,0.868184396,1,-1,1.042408629,1,-1,high,high,ISIC_0026756.JPG,,ISIC_0026738.JPG,154,TRUE,hh,keypress(i),0,FALSE,1626968.6,1626968.2,1622365.596,1622471.7,1622382.603,1626886.25,1,20,8,,,
sequence,flow.Sequence,5_7,2023-11-13T15:26:29.676Z,,,,,,,,4585.597,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1626969,1626968.2,1622365.596,1622471.7,1622382.603,1626886.25,1,20,,,,
trial,html.Screen,5_8_0,2023-11-13T15:26:33.867Z,,1,0.069636711,0.00407887,,TRUE,ll,4273.45,response,-0.860592133,1,-1,-1.106379615,1,-1,low,low,ISIC_0066882.JPG,,ISIC_0064071.JPG,111,TRUE,ll,keypress(f),0,FALSE,1631160.1,1631159.7,1626869.285,1626969.1,1626886.25,1631073.516,1,20,9,,,
